comp,match,c_full,c_full_o,c1,c1_o,c2,c2_o,s_full,s_full_o,s2,s2_o,s1,s1_o,cd_full,cd2,cd2_o,g2
WC22,3857276,6,2,1,2,5,0,0,2,0,0,0,2,4,1,0,0
WC22,3857276,2,6,2,1,0,5,2,0,0,0,2,0,0,0,1,0
WC22,3857272,3,7,2,2,1,5,3,1,2,0,1,1,0,0,0,0
WC22,3857272,7,3,2,2,5,1,1,3,0,2,1,1,0,0,0,0
WC22,3857261,1,6,0,4,1,2,1,7,1,5,0,2,2,1,0,3
WC22,3857261,6,1,4,0,2,1,7,1,5,1,2,0,0,0,1,3
WC22,3857297,4,5,2,3,2,2,3,5,2,2,1,3,3,0,0,1
WC22,3857297,5,4,3,2,2,2,5,3,2,2,3,1,2,0,0,1
WC22,3857265,6,5,3,3,3,2,4,2,3,2,1,0,2,1,1,0
WC22,3857265,5,6,3,3,2,3,2,4,2,3,0,1,1,1,1,0
WC22,3857292,1,14,1,7,0,7,5,11,4,7,1,4,1,1,0,4
WC22,3857292,14,1,7,1,7,0,11,5,7,4,4,1,0,0,1,4
WC22,3869151,1,3,0,2,1,1,5,1,4,1,1,0,0,0,0,1
WC22,3869151,3,1,2,0,1,1,1,5,1,4,0,1,2,0,0,1
WC22,3857287,4,3,3,2,1,1,1,0,0,0,1,0,1,1,1,0
WC22,3857287,3,4,2,3,1,1,0,1,0,0,0,1,1,1,1,0
WC22,3869254,6,6,3,2,3,4,9,3,4,1,5,2,0,0,1,5
WC22,3869254,6,6,2,3,4,3,3,9,1,4,2,5,2,1,0,5
WC22,3869420,2,5,1,1,1,4,0,8,0,5,0,3,1,0,2,0
WC22,3869420,5,2,1,1,4,1,8,0,5,0,3,0,3,2,0,0
WC22,3869117,4,5,2,1,2,4,6,6,4,4,2,2,2,2,0,2
WC22,3869117,5,4,1,2,4,2,6,6,4,4,2,2,0,0,2,2
WC22,3857286,1,3,0,1,1,2,0,3,0,1,0,2,4,1,1,0
WC22,3857286,3,1,1,0,2,1,3,0,1,0,2,0,2,1,1,0
WC18,8650,8,4,5,3,3,1,9,3,6,0,3,3,2,2,2,1
WC18,8650,4,8,3,5,1,3,3,9,0,6,3,3,2,2,2,1
WC18,7538,6,5,5,1,1,4,4,0,2,0,2,0,1,1,1,1
WC18,7538,5,6,1,5,4,1,0,4,0,2,0,2,2,1,1,1
WC18,7545,5,2,2,1,3,1,3,5,3,4,0,1,4,3,3,3
WC18,7545,2,5,1,2,1,3,5,3,4,3,1,0,4,3,3,3
WC18,7540,7,4,4,3,3,1,4,2,3,1,1,1,2,2,1,3
WC18,7540,4,7,3,4,1,3,2,4,1,3,1,1,1,1,2,3
WC18,7542,5,7,3,3,2,4,2,4,0,2,2,2,1,1,0,0
WC18,7542,7,5,3,3,4,2,4,2,2,0,2,2,1,0,1,0
WC18,7536,9,3,7,2,2,1,6,2,3,2,3,0,3,2,3,3
WC18,7536,3,9,2,7,1,2,2,6,2,3,0,3,5,3,2,3
WC18,7537,2,7,2,3,0,4,1,7,0,2,1,5,0,0,0,1
WC18,7537,7,2,3,2,4,0,7,1,2,0,5,1,1,0,0,1
WC18,7562,8,3,2,1,6,2,2,3,1,1,1,2,3,2,1,1
WC18,7562,3,8,1,2,2,6,3,2,1,1,2,1,2,1,2,1
WC18,7583,8,7,3,3,5,4,10,1,7,1,3,0,2,1,3,2
WC18,7583,7,8,3,3,4,5,1,10,1,7,0,3,4,3,1,2
WC18,7582,6,4,0,3,6,1,5,1,3,0,2,1,1,0,2,0
WC18,7582,4,6,3,0,1,6,1,5,0,3,1,2,2,2,0,0
WC18,7564,3,5,1,0,2,5,3,3,2,1,1,2,2,1,3,2
WC18,7564,5,3,0,1,5,2,3,3,1,2,2,1,3,3,1,2
WC18,8651,1,6,0,3,1,3,3,2,3,1,0,1,2,2,1,1
WC18,8651,6,1,3,0,3,1,2,3,1,3,1,0,1,1,2,1
Euro24,3930166,13,0,8,0,5,0,8,1,5,1,3,0,2,1,1,2
Euro24,3930166,0,13,0,8,0,5,1,8,1,5,0,3,1,1,1,2
Euro24,3930178,2,11,2,5,0,6,4,3,3,1,1,2,6,5,2,2
Euro24,3930178,11,2,5,2,6,0,3,4,1,3,2,1,2,2,5,2
Euro24,3938641,4,3,2,1,2,2,3,9,1,6,2,3,4,4,2,2
Euro24,3938641,3,4,1,2,2,2,9,3,6,1,3,2,2,2,4,2
Euro24,3938640,4,4,2,2,2,2,5,5,0,3,5,2,0,0,1,2
Euro24,3938640,4,4,2,2,2,2,5,5,3,0,2,5,1,1,0,2
Euro24,3942227,3,2,3,0,0,2,1,2,1,2,0,0,1,1,1,2
Euro24,3942227,2,3,0,3,2,0,2,1,2,1,0,0,2,1,1,2
Euro24,3930169,5,8,3,5,2,3,3,5,1,2,2,3,3,3,1,0
Euro24,3930169,8,5,5,3,3,2,5,3,2,1,3,2,2,1,3,0
Euro24,3942382,3,7,0,4,3,3,4,4,4,3,0,1,4,3,2,1
Euro24,3942382,7,3,4,0,3,3,4,4,3,4,1,0,2,2,3,1
Euro24,3942226,0,4,0,1,0,3,5,4,1,2,4,2,3,2,4,2
Euro24,3942226,4,0,1,0,3,0,4,5,2,1,2,4,6,4,2,2
Euro24,3941021,4,12,1,9,3,3,1,6,0,4,1,2,2,2,2,2
Euro24,3941021,12,4,9,1,3,3,6,1,4,0,2,1,2,2,2,2
Euro24,3930182,8,2,5,0,3,2,3,1,1,1,2,0,2,0,1,0
Euro24,3930182,2,8,0,5,2,3,1,3,1,1,0,2,2,1,0,0
Euro24,3930177,2,6,0,2,2,4,0,5,0,4,0,1,1,1,2,1
Euro24,3930177,6,2,2,0,4,2,5,0,4,0,1,0,5,2,1,1
Euro24,3930168,11,7,8,3,3,4,7,2,4,0,3,2,2,1,1,1
Euro24,3930168,7,11,3,8,4,3,2,7,0,4,2,3,2,1,1,1
Euro20,3788758,5,5,4,0,1,5,9,5,4,5,5,0,1,0,2,1
Euro20,3788758,5,5,0,4,5,1,5,9,5,4,0,5,2,2,0,1
Euro20,3788760,4,4,2,2,2,2,2,1,1,0,1,1,1,0,3,1
Euro20,3788760,4,4,2,2,2,2,1,2,0,1,1,1,3,3,0,1
Euro20,3794685,3,2,2,0,1,2,2,1,0,1,2,0,2,2,0,0
Euro20,3794685,2,3,0,2,2,1,1,2,1,0,0,2,1,0,2,0
Euro20,3795187,3,2,2,0,1,2,2,6,1,4,1,2,0,0,0,3
Euro20,3795187,2,3,0,2,2,1,6,2,4,1,2,1,0,0,0,3
Euro20,3795506,2,4,1,2,1,2,5,1,4,0,1,1,4,4,0,1
Euro20,3795506,4,2,2,1,2,1,1,5,0,4,1,1,0,0,4,1
Euro20,3788755,10,7,4,2,6,5,5,7,4,5,1,2,2,2,2,1
Euro20,3788755,7,10,2,4,5,6,7,5,5,4,2,1,2,2,2,1
Euro20,3788741,2,8,0,3,2,5,0,8,0,5,0,3,2,2,0,2
Euro20,3788741,8,2,3,0,5,2,8,0,5,0,3,0,0,0,2,2
Euro20,3788774,6,1,1,1,5,0,6,3,4,1,2,2,2,1,2,3
Euro20,3788774,1,6,1,1,0,5,3,6,1,4,2,2,3,2,1,3
Euro20,3788767,4,9,2,8,2,1,1,4,0,1,1,3,0,0,0,0
Euro20,3788767,9,4,8,2,1,2,4,1,1,0,3,1,0,0,0,0
Euro20,3788745,1,1,1,0,0,1,2,1,1,1,1,0,1,1,2,1
Euro20,3788745,1,1,0,1,1,0,1,2,1,1,0,1,3,2,1,1
Euro20,3788756,2,5,0,0,2,5,3,1,2,1,1,0,1,0,1,1
Euro20,3788756,5,2,0,0,5,2,1,3,1,2,0,1,2,1,0,1
Euro20,3788751,3,5,3,0,0,5,1,1,0,1,1,0,0,0,0,0
Euro20,3788751,5,3,0,3,5,0,1,1,1,0,0,1,1,0,0,0
AFCON23,3922240,2,4,1,0,1,4,4,1,2,0,2,1,3,3,0,0
AFCON23,3922240,4,2,0,1,4,1,1,4,0,2,1,2,1,0,3,0
AFCON23,3920409,3,2,1,1,2,1,5,1,3,0,2,1,0,0,2,0
AFCON23,3920409,2,3,1,1,1,2,1,5,0,3,1,2,3,2,0,0
AFCON23,3920412,0,6,0,3,0,3,1,2,1,2,0,0,2,0,1,2
AFCON23,3920412,6,0,3,0,3,0,2,1,2,1,0,0,2,1,0,2
AFCON23,3920393,8,7,5,0,3,7,3,4,2,2,1,2,0,0,0,1
AFCON23,3920393,7,8,0,5,7,3,4,3,2,2,2,1,0,0,0,1
AFCON23,3920414,1,6,1,3,0,3,5,3,4,2,1,1,3,2,0,1
AFCON23,3920414,6,1,3,1,3,0,3,5,2,4,1,1,1,0,2,1
AFCON23,3920386,2,3,1,1,1,2,7,1,4,0,3,1,1,1,1,0
AFCON23,3920386,3,2,1,1,2,1,1,7,0,4,1,3,2,1,1,0
AFCON23,3923881,4,5,1,4,3,1,1,7,0,4,1,3,2,2,3,2
AFCON23,3923881,5,4,4,1,1,3,7,1,4,0,3,1,3,3,2,2
AFCON23,3922242,5,2,2,2,3,0,3,4,2,3,1,1,4,3,2,1
AFCON23,3922242,2,5,2,2,0,3,4,3,3,2,1,1,2,2,3,1
AFCON23,3922356,3,4,1,2,2,2,3,3,2,1,1,2,1,0,2,2
AFCON23,3922356,4,3,2,1,2,2,3,3,1,2,2,1,2,2,0,2
AFCON23,3922241,11,1,3,1,8,0,4,0,4,0,0,0,1,0,1,1
AFCON23,3922241,1,11,1,3,0,8,0,4,0,4,0,0,1,1,0,1
AFCON23,3920387,2,5,0,3,2,2,1,5,1,3,0,2,3,2,3,2
AFCON23,3920387,5,2,3,0,2,2,5,1,3,1,2,0,3,3,2,2
AFCON23,3920406,5,3,1,1,4,2,4,2,3,1,1,1,3,0,0,1
AFCON23,3920406,3,5,1,1,2,4,2,4,1,3,1,1,0,0,0,1
Copa24,3939991,6,5,2,3,4,2,3,6,1,2,2,4,3,1,0,0
Copa24,3939991,5,6,3,2,2,4,6,3,2,1,4,2,2,0,1,0
Copa24,3939982,4,3,3,2,1,1,9,1,4,0,5,1,0,0,1,3
Copa24,3939982,3,4,2,3,1,1,1,9,0,4,1,5,1,1,0,3
Copa24,3939980,7,8,6,2,1,6,3,4,1,2,2,2,0,0,3,2
Copa24,3939980,8,7,2,6,6,1,4,3,2,1,2,2,4,3,0,2
Copa24,3939975,3,3,2,2,1,1,3,3,1,2,2,1,1,0,2,1
Copa24,3939975,3,3,2,2,1,1,3,3,2,1,1,2,2,2,0,1
Copa24,3939986,6,3,4,0,2,3,6,1,3,1,3,0,1,1,3,2
Copa24,3939986,3,6,0,4,3,2,1,6,1,3,0,3,5,3,1,2
Copa24,3939979,2,7,0,1,2,6,2,5,2,3,0,2,2,1,1,1
Copa24,3939979,7,2,1,0,6,2,5,2,3,2,2,0,2,1,1,1
Copa24,3939990,2,3,1,1,1,2,2,5,1,5,1,0,2,0,0,1
Copa24,3939990,3,2,1,1,2,1,5,2,5,1,0,1,1,0,0,1
Copa24,3939972,3,5,0,2,3,3,4,5,1,4,3,1,3,0,0,2
Copa24,3939972,5,3,2,0,3,3,5,4,4,1,1,3,2,0,0,2
Copa24,3939976,9,1,6,0,3,1,3,0,1,0,2,0,1,1,2,0
Copa24,3939976,1,9,0,6,1,3,0,3,0,1,0,2,2,2,1,0
Copa24,3942416,4,2,2,2,2,0,5,2,2,1,3,1,1,0,3,2
Copa24,3942416,2,4,2,2,0,2,2,5,1,2,1,3,3,3,0,2
Copa24,3943076,7,6,5,1,2,5,5,5,3,3,2,2,3,2,1,2
Copa24,3943076,6,7,1,5,5,2,5,5,3,3,2,2,2,1,2,2
Copa24,3942785,2,2,1,2,1,0,3,2,2,1,1,1,1,1,2,1
Copa24,3942785,2,2,2,1,0,1,2,3,1,2,1,1,3,2,1,1
