match,team,opponent,lam,sot_for
Argentina vs Algeria,Argentina,Algeria,1.904,
Argentina vs Algeria,Algeria,Argentina,0.721,
Austria vs Jordan,Austria,Jordan,2.094,
Austria vs Jordan,Jordan,Austria,0.741,
Belgium vs Iran,Iran,Belgium,0.758,
Belgium vs Iran,Belgium,Iran,2.032,
Canada vs Qatar,Qatar,Canada,0.645,
Canada vs Qatar,Canada,Qatar,2.254,
Czech Republic vs South Africa,South Africa,Czech Republic,0.911,
Czech Republic vs South Africa,Czech Republic,South Africa,1.547,
Ecuador vs Curaçao,Curaçao,Ecuador,0.504,
Ecuador vs Curaçao,Ecuador,Curaçao,2.716,
England vs Croatia,England,Croatia,1.626,
England vs Croatia,Croatia,England,0.856,
France vs Senegal,France,Senegal,1.981,
France vs Senegal,Senegal,France,0.839,
Germany vs Ivory Coast,Ivory Coast,Germany,1.019,
Germany vs Ivory Coast,Germany,Ivory Coast,2.097,
Ghana vs Panama,Ghana,Panama,1.332,
Ghana vs Panama,Panama,Ghana,1.041,
Iraq vs Norway,Iraq,Norway,0.589,
Iraq vs Norway,Norway,Iraq,2.498,
Mexico vs South Korea,Mexico,South Korea,1.383,
Mexico vs South Korea,South Korea,Mexico,0.972,
Netherlands vs Sweden,Netherlands,Sweden,1.867,
Netherlands vs Sweden,Sweden,Netherlands,1.137,
Portugal vs DR Congo,Portugal,DR Congo,2.273,
Portugal vs DR Congo,DR Congo,Portugal,0.647,
Scotland vs Morocco,Scotland,Morocco,0.779,
Scotland vs Morocco,Morocco,Scotland,1.611,
Spain vs Saudi Arabia,Spain,Saudi Arabia,2.924,
Spain vs Saudi Arabia,Saudi Arabia,Spain,0.443,
Switzerland vs Bosnia & Herzegovina,Bosnia & Herzegovina,Switzerland,0.802,
Switzerland vs Bosnia & Herzegovina,Switzerland,Bosnia & Herzegovina,1.823,
Tunisia vs Japan,Tunisia,Japan,0.721,
Tunisia vs Japan,Japan,Tunisia,1.791,
USA vs Australia,Australia,USA,0.853,
USA vs Australia,USA,Australia,1.791,
Uruguay vs Cape Verde,Uruguay,Cape Verde,1.793,
Uruguay vs Cape Verde,Cape Verde,Uruguay,0.602,
